what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300678143017
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300678161622
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678165709
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678167707
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1300678170691
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678171826
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1300678183295
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300678185818
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1300678188609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678196480
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678202342
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1300678205757
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678206816
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1300678208739
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1300678212618
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678213205
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678214580
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678215591
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1300678221277
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300678230418
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678237946
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1300678247386
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300678265764
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1300678269723
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1300678270042
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1300678270409
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1300678272509
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678273038
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1300678279373
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300678284969
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300678286846
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678303706
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300678304091
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1300678313589
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678336070
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1300678342018
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300678346231
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1300678355080
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1300678359595
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678360341
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678361454
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678361680
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678401894
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300678404111
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678406229
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1300678411912
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300678420988
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678422191
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678424238
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678425972
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678528394
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1300678539290
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1300678539587
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678540760
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1300678546418
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300678554495
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678567173
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678568116
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678570288
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678571870
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678572605
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678666164
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1300678666902
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300678671156
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678687404
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678697334
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1300678698460
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678699063
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678712449
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1300678718990
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678743543
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1300678748595
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300678753262
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678765742
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1300678771712
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300678799237
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678805054
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678814422
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678814427
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678814574
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678824009
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300678827378
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300678853986
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679009608
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679011186
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679013166
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679016273
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679048262
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1300679049988
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679053228
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679065279
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300679065828
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300679065949
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1300679069167
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679072933
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679114835
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679117374
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679119037
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1300679124383
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1300679125736
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300679126885
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679133586
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679133711
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679147498
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679148733
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300679151580
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679153473
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679236533
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679237389
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679244534
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1300679251912
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300679252117
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300679255744
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300679260015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679261647
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300679266890
opened,view,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit.ResultView",1300679267817
activated,view,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit.ResultView",1300679267875
